ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000054237;ENSMUST00000089805	Dclk1;Dcamkl1;Dclk;Dcl;mCG_126612	"Serine/threonine-protein kinase DCLK1;Doublecortin-like and CAM kinase-like 1;Doublecortin-like protein;Double cortin and calcium/calmodulin-dependent protein kinase-like 1, isoform CRA_c;Putative uncharacterized protein"	"Isoform 2 of Serine/threonine-protein kinase DCLK1;Isoform 1 of Serine/threonine-protein kinase DCLK1;Double cortin and calcium/calmodulin-dependent protein kinase-like 1, isoform CRA_c;Putative uncharacterized protein"	363	102647.7	131072.84	1.8	2.35
ENSMUST00000031024	Mrpl33	"Putative uncharacterized protein;39S ribosomal protein L33, mitochondrial;L33mt;MRP-L33"	"50S ribosomal protein L33;39S ribosomal protein L33, mitochondrial"	65	102685.87	91917.2	97.84	53.79
ENSMUST00000026013	Maoa;RP23-68J21.1-001;mCG_3052	"Monoamine oxidase A;Monoamine oxidase A, isoform CRA_b;Amine oxidase [flavin-containing] A;Monoamine oxidase type A"	monoamine oxidase A;Amine oxidase [flavin-containing] A	526	102831.57	96120.15	7.69	4.42
ENSMUST00000029669;ENSMUST00000050073	Dnajb4	DnaJ homolog subfamily B member 4	DnaJ homolog subfamily B member 4	337	102858.2	175638.76	6.46	7.34
ENSMUST00000029178	Ctnnbl1	Beta-catenin-like protein 1;Nuclear-associated protein	Beta-catenin-like protein 1;65 kDa protein	563	103129.08	58631.37	9.82	11.05
ENSMUST00000025439	Me2	"NAD-dependent malic enzyme, mitochondrial;Malic enzyme 2"	"NAD-dependent malic enzyme, mitochondrial"	589	103192.03	60884.37	17.48	12.37
ENSMUST00000053484;ENSMUST00000105288	Eea1	Early endosome antigen 1;Eea1 protein	Early endosome antigen 1;Eea1 protein (Fragment)	1411	103537.96	75187.01	9.31	10.06
ENSMUST00000058754	Zmpste24;Face1	CAAX prenyl protease 1 homolog;Prenyl protein-specific endoprotease 1;Farnesylated proteins-converting enzyme 1;Zinc metalloproteinase Ste24 homolog	CAAX prenyl protease 1 homolog	475	103577.71	221277.99	21.77	19.89
ENSMUST00000060608	Cyp20a1	Cytochrome P450 20A1	Cytochrome P450 20A1;33 kDa protein	462	103665.33	96423.12	17.2	15.95
ENSMUST00000111080	Ap1s1;Ap19	AP-1 complex subunit sigma-1A;Adapter-related protein complex 1 sigma-1A subunit;Adaptor protein complex AP-1 sigma-1A subunit;Sigma-adaptin 1A;Sigma1A-adaptin;Golgi adaptor HA1/AP1 adaptin sigma-1A subunit;HA1 19 kDa subunit;Clathrin assembly protein complex 1 sigma-1A small chain;Clathrin coat assembly protein AP19;Sigma 1a subunit of AP-1 clathrin	AP-1 complex subunit sigma-1A;22 kDa protein;18 kDa protein;9 kDa protein	158	103672.31	102189.14	96.7	70.19
ENSMUST00000006915	Mettl1	tRNA (guanine-N(7)-)-methyltransferase;tRNA(m7G46)-methyltransferase;Methyltransferase-like protein 1	tRNA (guanine-N(7)-)-methyltransferase;26 kDa protein	268	103773.45	78596.68	16.19	8.28
ENSMUST00000006391;ENSMUST00000063191	Serpinb9;mCG_17886	"Putative uncharacterized protein;SPI6;Serine (Or cysteine) peptidase inhibitor, clade B, member 9"	"serine (or cysteine) proteinase inhibitor, clade B, member 9"	374	103823.24	111088.38	6.23	3.74
ENSMUST00000098631;ENSMUST00000003121	Rab8a;Mel;Rab8	Putative uncharacterized protein;Ras-related protein Rab-8A;Oncogene c-mel	Putative uncharacterized protein;Ras-related protein Rab-8A	208	103897.16	79138.14	16.1	18.78
ENSMUST00000069949;ENSMUST00000090002;ENSMUST00000114459;ENSMUST00000116609	Hnrnpa2b1;Hnrpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1;hnRNP A2 / hnRNP B1;Heterogeneous nuclear ribonucleoprotein A2/B1	Isoform 1 of Heterogeneous nuclear ribonucleoproteins A2/B1;Isoform 2 of Heterogeneous nuclear ribonucleoproteins A2/B1;Heterogeneous nuclear ribonucleoprotein A2/B1;Isoform 3 of Heterogeneous nuclear ribonucleoproteins A2/B1	353	103929.85	149061.23	114.85	102.75
ENSMUST00000079314;ENSMUST00000111817	Gmfb	Glia maturation factor beta	"Glia maturation factor, beta"	143	103984.68	222245.89	16.14	13.24
ENSMUST00000110934	Cnpy4;Prat4b	Protein canopy homolog 4;Protein associated with Tlr4	Protein canopy homolog 4;18 kDa protein	245	104175.1	61176.58	9.73	12.75
ENSMUST00000017922	Cox7c;Cox7c1;RP23-213P21.1-004	"Cytochrome c oxidase subunit 7C, mitochondrial;Cytochrome c oxidase polypeptide VIIc;Cytochrome c oxidase, subunit VIIc"	"Cytochrome c oxidase subunit 7C, mitochondrial;7 kDa protein;hypothetical protein isoform 1;hypothetical protein isoform 1;hypothetical protein isoform 2;Cytochrome c oxidase, subunit VIIc;4 kDa protein"	63	104231.44	155783.72	53.3	87.28
ENSMUST00000025083	Kif5b;Khcs;Kns1	Kif5b protein;Kinesin-1 heavy chain;Ubiquitous kinesin heavy chain;Conventional kinesin heavy chain	kinesin family member 5B;Kinesin-1 heavy chain	963	104238.57	111238.86	17.69	18.31
ENSMUST00000031668	Col1a2;Cola2	Collagen alpha-2(I) chain;Alpha-2 type I collagen	Collagen alpha-2(I) chain	1372	104461.09	167196.48	220.62	432
ENSMUST00000049519;ENSMUST00000097271	Irgm;Ifi1;Iigp3;Irgm1;RP23-14F5.1-003	Immunity-related GTPase family M protein;Immunity-related GTPase family M protein 1;Interferon-inducible protein 1;LPS-stimulated RAW 264.7 macrophage protein 47;Immunity-related GTPase family M member 1	Isoform 1 of Immunity-related GTPase family M protein;Isoform 2 of Immunity-related GTPase family M protein;Immunity-related GTPase family M member 1	409	104515.01	351392.05	7.96	17.93
ENSMUST00000002048	Ccdc44	Coiled-coil domain-containing protein 44	Translational activator of cytochrome c oxidase 1	294	104594.11	28026.77	6.72	3.68
ENSMUST00000025186	Slc39a7;H2-Ke4;Hke4	Zinc transporter SLC39A7;Solute carrier family 39 member 7;Histidine-rich membrane protein Ke4	Zinc transporter SLC39A7	476	104611.33	22924.23	70.28	78.11
ENSMUST00000033545	Rab39b	Ras-related protein Rab-39B	Ras-related protein Rab-39B	213	104669.96	68612.1	4.55	4.01
ENSMUST00000000985	Oxa1l	Mitochondrial inner membrane protein OXA1L;Oxidase assembly 1-like protein	Mitochondrial inner membrane protein OXA1L	433	104783.16	14494.98	10.13	9.71
ENSMUST00000001419	Zmat2	Zinc finger matrin-type protein 2	Zinc finger matrin-type protein 2	199	104790.84	10896.31	12.1	10.99
ENSMUST00000087075;ENSMUST00000090941;ENSMUST00000107494	Msto1	Protein misato homolog 1	Isoform 1 of Protein misato homolog 1;64 kDa protein;Isoform 2 of Protein misato homolog 1	556	104847.72	134753.57	41.6	41.3
ENSMUST00000014546	Tsg101	Tumor susceptibility gene 101 protein;ESCRT-I complex subunit TSG101	Tumor susceptibility gene 101 protein	391	104910.3	141402.09	14.61	14.09
ENSMUST00000048371	Tsc22d1;Kiaa1994;Tgfb1i4;Tilz1b;Tsc22	TSC22 domain family protein 1;Transforming growth factor beta-1-induced transcript 4 protein;Regulatory protein TSC-22;TGFB-stimulated clone 22 homolog;TSC22-related inducible leucine zipper 1b	Isoform 2 of TSC22 domain family protein 1;Isoform 1 of TSC22 domain family protein 1;Isoform 3 of TSC22 domain family protein 1;11 kDa protein	143	105103.44	38472.58	63.67	90
ENSMUST00000062125		Uncharacterized protein C19orf52 homolog	Uncharacterized protein C19orf52 homolog	266	105153.6	36835.21	10.18	11.02
ENSMUST00000028199;ENSMUST00000102851	Tor1b	Torsin-1B;Torsin family 1 member B;Putative uncharacterized protein	"Torsin-1B;torsin family 1, member B precursor"	339	105621.54	108156.19	20.42	19.69
ENSMUST00000020770	Mrps24	"28S ribosomal protein S24, mitochondrial;MRP-S24"	"28S ribosomal protein S24, mitochondrial"	167	105776.04	36324.49	25.15	18.62
ENSMUST00000080493;ENSMUST00000087876;ENSMUST00000087877;ENSMUST00000109089;ENSMUST00000069396;ENSMUST00000087871;ENSMUST00000109087	Gnas;Gnas1;MNCb-5546	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;Adenylate cyclase-stimulating G alpha protein;Extra large alphas protein;Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	Isoform XLas-1 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;Isoform XLas-4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;Isoform Gnas-1 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms sho	1133	105841.16	94749.36	98.65	93.97
ENSMUST00000012028	Gltp	Glycolipid transfer protein	Glycolipid transfer protein;22 kDa protein;20 kDa protein	209	105872.84	64926.71	27.87	21.47
ENSMUST00000015320	Nolc1;mKIAA0035	Putative uncharacterized protein;MKIAA0035 protein	nucleolar and coiled-body phosphoprotein 1 isoform D;nucleolar and coiled-body phosphoprotein 1 isoform B;nucleolar and coiled-body phosphoprotein 1 isoform C;nucleolar and coiled-body phosphoprotein 1 isoform A	701	106404.57	84251.47	43.48	43.03
ENSMUST00000003461;ENSMUST00000093350;ENSMUST00000101554;ENSMUST00000109797	Ogdh;Kiaa4192	"2-oxoglutarate dehydrogenase E1 component, mitochondrial;Alpha-ketoglutarate dehydrogenase"	"Isoform 1 of 2-oxoglutarate dehydrogenase, mitochondrial;Isoform 3 of 2-oxoglutarate dehydrogenase, mitochondrial;Isoform 4 of 2-oxoglutarate dehydrogenase, mitochondrial;Isoform 2 of 2-oxoglutarate dehydrogenase, mitochondrial"	1023	106419.5	125504.87	12.5	10.38
ENSMUST00000076313	Prpf40a;Fbp11;Fnbp3	Pre-mRNA-processing factor 40 homolog A;Formin-binding protein 3;Formin-binding protein 11	Isoform 1 of Pre-mRNA-processing factor 40 homolog A;Isoform 2 of Pre-mRNA-processing factor 40 homolog A	953	106549.31	80078.51	23.84	25.9
ENSMUST00000102889;ENSMUST00000107560	AI314180;RP23-211P15.1;RP23-211P15.1-001;Ecm29;Kiaa0368	Novel protein containing 10 HEAT domains;Proteasome-associated protein ECM29 homolog	Novel protein containing 10 HEAT domains;Isoform 1 of Proteasome-associated protein ECM29 homolog;Isoform 2 of Proteasome-associated protein ECM29 homolog;204 kDa protein	1840	106942.06	122905.66	21.42	26.68
ENSMUST00000025305;ENSMUST00000113782	Mrps18b	"28S ribosomal protein S18b, mitochondrial;MRP-S18-b;MRP-S18-2"	"Isoform 1 of 28S ribosomal protein S18b, mitochondrial"	254	107077.19	15837.91	46.4	40.94
ENSMUST00000019854;ENSMUST00000119968;ENSMUST00000121048;ENSMUST00000121920	Mrpl24	"39S ribosomal protein L24, mitochondrial;MRP-L24"	"39S ribosomal protein L24, mitochondrial"	216	107194.8	36705.15	25.02	25.36
ENSMUST00000006435	Atp6v1b2;Atp6b2;Vat2	"V-type proton ATPase subunit B, brain isoform;Vacuolar proton pump subunit B 2;Endomembrane proton pump 58 kDa subunit"	"V-type proton ATPase subunit B, brain isoform"	511	107955.11	244894.55	18.22	18.14
ENSMUST00000046349	Tmem214	Transmembrane protein 214	Isoform 1 of Transmembrane protein 214;Isoform 2 of Transmembrane protein 214	687	107982.61	79688.07	25.13	29.68
ENSMUST00000026599;ENSMUST00000113414;ENSMUST00000113415	Apool;Fam121a;RP23-436F2.1-003	Apolipoprotein O-like;Protein FAM121A;Putative uncharacterized protein	Apolipoprotein O-like;Putative uncharacterized protein;Apolipoprotein O-like	265	107983.77	90858.93	7.07	8.15
ENSMUST00000032920	Cdipt;Pis1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase;Phosphatidylinositol synthase	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	213	108308.67	166537.78	32.08	25.65
ENSMUST00000004389	Grcc10;C10	Protein C10	Protein C10	126	108503.38	70872.62	24.84	33.3
ENSMUST00000040372	1810006K21Rik;mCG_1963	UPF0197 transmembrane protein C11orf10 homolog;1810006K21Rik protein	UPF0197 transmembrane protein C11orf10 homolog;1810006K21Rik protein	79	108746.82	103433.15	76.41	77.77
ENSMUST00000021611;ENSMUST00000110683	Pitrm1;Kiaa1104;Ntup1	"Presequence protease, mitochondrial;Pitrilysin metalloproteinase 1"	"Isoform 1 of Presequence protease, mitochondrial;Isoform 2 of Presequence protease, mitochondrial;Isoform 3 of Presequence protease, mitochondrial"	1036	108771.49	123358.75	30.2	22.23
ENSMUST00000080001;ENSMUST00000111302	Ufc1	Ufm1-conjugating enzyme 1;Ubiquitin-fold modifier-conjugating enzyme 1	Ubiquitin-fold modifier-conjugating enzyme 1	167	108835.32	192463.82	44.76	41.03
ENSMUST00000023405;ENSMUST00000099646;ENSMUST00000118438	Arl6	ADP-ribosylation factor-like protein 6;Putative uncharacterized protein	ADP-ribosylation factor-like protein 6;Putative uncharacterized protein;22 kDa protein	186	109184.73	77455.41	4.28	7.7
ENSMUST00000040167;ENSMUST00000101347	Mat2b	Methionine adenosyltransferase 2 subunit beta;Methionine adenosyltransferase II beta;Methionine adenosyltransferase 2 beta subunit	Isoform 1 of Methionine adenosyltransferase 2 subunit beta;Isoform 2 of Methionine adenosyltransferase 2 subunit beta	334	109346.26	155595.6	12.98	14.93
ENSMUST00000020820	Mrpl22	"39S ribosomal protein L22, mitochondrial"	"39S ribosomal protein L22, mitochondrial"	206	109407.62	49280.74	32.4	34.03
ENSMUST00000029694;ENSMUST00000107510	Arhgef2;Kiaa0651;Lbcl1;Lfc	Rho guanine nucleotide exchange factor 2;Guanine nucleotide exchange factor H1;Lymphoid blast crisis-like 1;LBC'S first cousin;Oncogene LFC;Rhobin	Isoform 1 of Rho guanine nucleotide exchange factor 2;Isoform 5 of Rho guanine nucleotide exchange factor 2;Isoform 3 of Rho guanine nucleotide exchange factor 2;Isoform 2 of Rho guanine nucleotide exchange factor 2	985	109477.24	139773.19	48.72	43.12
ENSMUST00000043815	Nup205	Nucleoporin 205	nucleoporin 205	2008	110050.55	86545.92	30.84	22.66
ENSMUST00000030140	Ikbkap;Elp1;Ikap	Elongator complex protein 1;IkappaB kinase complex-associated protein	Elongator complex protein 1	1333	110077.56	49845.34	18.83	15.11
ENSMUST00000047436;ENSMUST00000095579	Thoc6;Wdr58	THO complex subunit 6 homolog;WD repeat-containing protein 58	THO complex subunit 6 homolog;33 kDa protein;37 kDa protein;Protein	341	110511.4	111235.36	11.44	10.32
ENSMUST00000054952;ENSMUST00000108480	Tmem93	Transmembrane protein 93	Transmembrane protein 93	110	110532.35	46521.04	29.81	28.63
ENSMUST00000031483;ENSMUST00000086643;ENSMUST00000100906	Pus1;MNCb-0873	tRNA pseudouridine synthase A;tRNA-uridine isomerase I;tRNA pseudouridylate synthase I	Isoform 1 of tRNA pseudouridine synthase A;Isoform 2 of tRNA pseudouridine synthase A;pseudouridine synthase 1 isoform 1;Isoform 4 of tRNA pseudouridine synthase A	423	110534.6	68731.95	38.06	26.7
ENSMUST00000018343	Trove2;Ssa2	60 kDa SS-A/Ro ribonucleoprotein;TROVE domain family member 2	60 kDa SS-A/Ro ribonucleoprotein	538	110721.7	89933.55	5.53	5.19
ENSMUST00000006754;ENSMUST00000107123;ENSMUST00000107115;ENSMUST00000107117;ENSMUST00000107119;ENSMUST00000107121;ENSMUST00000079589	Ubtf;RP23-461C4.7-001;mCG_140722;RP23-461C4.7-003;Tcfubf;Ubf-1;Ubf1	"Upstream binding transcription factor, RNA polymerase I;Upstream binding transcription factor, RNA polymerase I, isoform CRA_b;Upstream binding transcription factor, RNA polymerase I, isoform CRA_a;Nucleolar transcription factor 1;Upstream-binding factor 1"	"Upstream binding transcription factor, RNA polymerase I, isoform CRA_b;upstream binding transcription factor, RNA polymerase I isoform 2;Isoform UBF2 of Nucleolar transcription factor 1"	752	110759.88	127661.1	34.43	38.71
ENSMUST00000092576;ENSMUST00000109529;ENSMUST00000029175;ENSMUST00000109531;ENSMUST00000109533	Src;RP23-169M4.1-006;mCG_21979;RP23-169M4.1-001	Rous sarcoma oncogene;Src;Neuronal proto-oncogene tyrosine-protein kinase Src;pp60c-src	Rous sarcoma oncogene isoform 1;Rous sarcoma oncogene isoform 2;Neuronal proto-oncogene tyrosine-protein kinase Src	541	110783.3	127576.71	39.66	49.04
ENSMUST00000033761;ENSMUST00000114372	Hcfc1;RP23-252M19.5-001	Host cell factor;HCF-1;C1 factor;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6;Host cell factor C1	Host cell factor C1;Host cell factor C1	2090	110789.55	58920.41	39.91	45.44
ENSMUST00000038600	Mrps2	"28S ribosomal protein S2, mitochondrial;S2mt;MRP-S2"	"28S ribosomal protein S2, mitochondrial;mitochondrial ribosomal protein S2 isoform 2"	291	111059.3	77429.64	20.27	19.15
ENSMUST00000042163	C330023M02Rik;mCG_142191	TPR repeat-containing protein C12orf30 homolog	Isoform 1 of N-terminal acetyltransferase B complex subunit MDM20;Isoform 2 of N-terminal acetyltransferase B complex subunit MDM20	972	111079.77	111673.06	29.44	23.05
ENSMUST00000044567	Alg5	Dolichyl-phosphate beta-glucosyltransferase;Asparagine-linked glycosylation protein 5	Putative uncharacterized protein (Fragment)	356	111392.38	89027.32	23.12	18.17
ENSMUST00000022538	Mrp63	"Ribosomal protein 63, mitochondrial;mMRP63"	"Ribosomal protein 63, mitochondrial"	102	111444.19	58895.82	6.85	3.82
ENSMUST00000020550	Cdc34;Ube2r1	Ubiquitin-conjugating enzyme E2 R1;Ubiquitin-protein ligase R1;Ubiquitin-conjugating enzyme E2-32 kDa complementing;E2-CDC34	Ubiquitin-conjugating enzyme E2 R1;27 kDa protein	235	111540.43	23421.87	65.03	43.01
ENSMUST00000067232;ENSMUST00000111691;ENSMUST00000111694;ENSMUST00000111697;ENSMUST00000066177;ENSMUST00000111670;ENSMUST00000111676;ENSMUST00000111677;ENSMUST00000111686;ENSMUST00000111687;ENSMUST00000111688;ENSMUST00000111690;ENSMUST00000111692;ENSMUST00000111693;ENSMUST00000111695;ENSMUST00000111696;ENSMUST00000111698	Ctnnd1;Catns;Kiaa0384	Catenin delta-1;p120 catenin;Cadherin-associated Src substrate;p120(cas);Putative uncharacterized protein	"108 kDa protein;Isoform 1 of Catenin delta-1;107 kDa protein;104 kDa protein;102 kDa protein;99 kDa protein;101 kDa protein;98 kDa protein;97 kDa protein;97 kDa protein;catenin, delta 1 isoform 3;96 kDa protein;68 kDa protein"	967	111618.38	269150.64	30.06	44.88
ENSMUST00000019050;ENSMUST00000093107	P4ha2;RP23-309E16.6-002;mCG_13782	"Prolyl 4-hydroxylase subunit alpha-2;4-PH alpha-2;Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2;Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide;Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide, isoform CRA_f"	"Isoform IIb of Prolyl 4-hydroxylase subunit alpha-2;prolyl 4-hydroxylase, alpha II subunit isoform 2;Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2"	537	111660.34	192951.73	15.56	20.69
ENSMUST00000029912;ENSMUST00000103008;ENSMUST00000108374	Sdcbp;RP23-89L15.4-002;mCG_4375;RP23-89L15.4-005;RP23-89L15.4-003	"Syntenin-1;Syndecan-binding protein 1;Scaffold protein Pbp1;Putative uncharacterized protein;Syndecan binding protein;MCG4375, isoform CRA_b"	Syntenin-1;syndecan binding protein isoform 2;Syndecan binding protein;Syndecan binding protein	299	111787.4	131725.26	36.19	32.34
ENSMUST00000047028	Grpa	Galectin-related protein A	Galectin-related protein A	172	111811.29	172501.23	7.79	10.48
ENSMUST00000075738	Cox6b1;Cox6b	Cytochrome c oxidase subunit 6B1;Cytochrome c oxidase subunit VIb isoform 1	Cytochrome c oxidase subunit 6B1	86	111880.26	273854.01	209.73	143.59
	Isoc2a;Isoc2	"Isochorismatase domain-containing protein 2A, mitochondrial"	"Isochorismatase domain-containing protein 2A, mitochondrial"	206	112200.51	109752.84	4.13	3.86
ENSMUST00000046709	Supt16h;Fact140;Factp140	FACT complex subunit SPT16;Facilitates chromatin transcription complex subunit SPT16;FACT 140 kDa subunit;FACTp140;Chromatin-specific transcription elongation factor 140 kDa subunit	FACT complex subunit SPT16	1047	112782.11	69260.11	21.91	19.48
ENSMUST00000061158	Commd3;Bup	COMM domain-containing protein 3;Bmi-1 upstream gene protein	COMM domain-containing protein 3	195	112834.85	189176.99	16.64	15.98
ENSMUST00000111338	Ckap5	Cytoskeleton-associated protein 5	Isoform 1 of Cytoskeleton-associated protein 5;Isoform 3 of Cytoskeleton-associated protein 5;Isoform 2 of Cytoskeleton-associated protein 5	2032	112957.64	99639.61	25.64	18.97
ENSMUST00000081591	Zc3h15;Dfrp1	Zinc finger CCCH domain-containing protein 15;DRG family-regulatory protein 1;Epo-immediate response gene protein FM22	Isoform 1 of Zinc finger CCCH domain-containing protein 15;Isoform 2 of Zinc finger CCCH domain-containing protein 15	426	113011.9	117592.26	45.2	38.58
ENSMUST00000091917;ENSMUST00000121805;ENSMUST00000025379;ENSMUST00000118043	Dpysl3;Drp3;Ulip	Collapsin response mediator protein 4A;Dihydropyrimidinase-related protein 3;Unc-33-like phosphoprotein;Putative uncharacterized protein	Collapsin response mediator protein 4A;Dihydropyrimidinase-related protein 3;Putative uncharacterized protein	683	113164.67	91459.7	17.62	13.69
ENSMUST00000025617	Rfk	Riboflavin kinase;ATP:riboflavin 5'-phosphotransferase;Flavokinase;KOI-4	Riboflavin kinase	155	113311.86	68557.38	12.16	12.86
ENSMUST00000018577	Nol11	Nucleolar protein 11	Isoform 1 of Nucleolar protein 11;Isoform 2 of Nucleolar protein 11	723	113342.79	59512.75	27.19	21.94
ENSMUST00000052355	Nup37;mCG_16783	"Nucleoporin Nup37;Nucleoporin 37;Putative uncharacterized protein;MCG16783, isoform CRA_a"	Nucleoporin Nup37;nucleoporin 37	326	113401.72	112359.49	18.16	10.62
ENSMUST00000018337	Cdc73	Parafibromin;Cell division cycle protein 73 homolog;Hyperparathyroidism 2 protein homolog	Parafibromin	531	113470.91	90515.27	12.99	11.72
ENSMUST00000006392	Serpinb9b	Putative uncharacterized protein	Putative uncharacterized protein	377	113590.98	22136.25	11.07	3.39
ENSMUST00000030882	Pmpcb	Mitochondrial-processing peptidase subunit beta;Beta-MPP;P-52	Mitochondrial-processing peptidase subunit beta	489	113615.04	84112.96	37.53	32.9
ENSMUST00000024031	Acy1	Aminoacylase-1;N-acyl-L-amino-acid amidohydrolase;ACY-1	Aminoacylase-1	408	113745.16	86745.14	10.15	8.21
ENSMUST00000037850	Snx2	Sorting nexin-2	Sorting nexin-2	519	113896.06	86814.77	11.83	13.1
ENSMUST00000034235;ENSMUST00000109521	Polr2c;Rpo2-3	Polymerase (RNA) II (DNA directed) polypeptide C;Putative uncharacterized protein;DNA-directed RNA polymerase II subunit RPB3;DNA-directed RNA polymerase II subunit C;DNA-directed RNA polymerase II 33 kDa polypeptide;RPB33;RPB31	polymerase (RNA) II (DNA directed) polypeptide C;Putative uncharacterized protein;DNA-directed RNA polymerase II subunit RPB3	275	113973.87	80922.46	9.8	14.14
ENSMUST00000056157	Mlkl	Mixed lineage kinase domain-like protein	Isoform 1 of Mixed lineage kinase domain-like protein;Isoform 2 of Mixed lineage kinase domain-like protein	472	114021.05	55868.29	14.71	23.37
ENSMUST00000031190	Dr1	Protein Dr1;Down-regulator of transcription 1;TATA-binding protein-associated phosphoprotein;Negative cofactor 2-beta	Protein Dr1	176	114272.85	193378.06	11.86	10.41
ENSMUST00000044252	Nubp2	Nucleotide-binding protein 2	Cytosolic Fe-S cluster assembly factor NUBP2	275	114365.45	62424.97	24.71	24.23
ENSMUST00000030192	Hint2	Histidine triad nucleotide-binding protein 2;HINT-3	"Histidine triad nucleotide-binding protein 2, mitochondrial"	163	114591.76	50530.85	4.27	3.06
ENSMUST00000040824;ENSMUST00000107462	Dpm3	Dolichol-phosphate mannosyltransferase subunit 3;Dolichyl-phosphate beta-D-mannosyltransferase subunit 3;Dolichol-phosphate mannose synthase subunit 3;DPM synthase complex subunit 3;Mannose-P-dolichol synthase subunit 3	Dolichol-phosphate mannosyltransferase subunit 3	92	114981.03	135529.24	56.29	35.13
ENSMUST00000001569	Flot1	Flotillin-1	Flotillin-1	428	115383.7	64465.67	8.34	8.55
			transmembrane emp24 protein transport domain containing 7	224	115454.19	143296.43	17.55	17.37
ENSMUST00000006217;ENSMUST00000107700	Snf8;D11Moh34;RP23-235J5.2-005	"Vacuolar-sorting protein SNF8;ESCRT-II complex subunit VPS22;SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)"	"Vacuolar-sorting protein SNF8;SNF8, ESCRT-II complex subunit, homolog"	258	115799.92	90806.21	37.96	39.12
ENSMUST00000076431;ENSMUST00000114093	Pmpca;Inpp5e;RP23-306D20.8-002;mCG_18769	"Mitochondrial-processing peptidase subunit alpha;Alpha-MPP;P-55;Peptidase (Mitochondrial processing) alpha;Peptidase (Mitochondrial processing) alpha, isoform CRA_a"	"Mitochondrial-processing peptidase subunit alpha;Peptidase (Mitochondrial processing) alpha, isoform CRA_a"	524	115816.84	163912.93	41.02	28.59
ENSMUST00000065504;ENSMUST00000100844	Anxa7;mCG_5956;Anx7	"Putative uncharacterized protein;Annexin A7, isoform CRA_c;Annexin A7;Annexin-7;Annexin VII;Synexin"	annexin A7;Putative uncharacterized protein;Putative uncharacterized protein	463	115911.57	125902.56	13.15	13.11
ENSMUST00000064234;ENSMUST00000085833;ENSMUST00000097429	Ezr;Vil2	Ezrin;p81;Cytovillin;Villin-2;Putative uncharacterized protein	Ezrin;Putative uncharacterized protein	586	116006.91	391033.51	16.13	22.63
ENSMUST00000107173;ENSMUST00000003612;ENSMUST00000107172	Dusp3;RP23-398F7.3-003	Dual specificity phosphatase 3 (Vaccinia virus phosphatase VH1-related);Dual specificity protein phosphatase 3;T-DSP11	Dual specificity phosphatase 3;Dual specificity protein phosphatase 3	210	116086.04	18353.62	6.4	2.81
ENSMUST00000001836	Pwp1	Periodic tryptophan protein 1 homolog	Periodic tryptophan protein 1 homolog	501	116174.58	32959.32	27.06	16.41
ENSMUST00000030128	Chmp5;Snf7dc2	Charged multivesicular body protein 5;Chromatin-modifying protein 5;SNF7 domain-containing protein 2	Charged multivesicular body protein 5	219	116407.83	140877.41	19.57	26.59
ENSMUST00000092915	Kiaa0664	Protein KIAA0664	hypothetical protein LOC74148;Isoform 3 of Protein KIAA0664;Isoform 2 of Protein KIAA0664	1353	116467.62	36706.54	40.09	31.58
ENSMUST00000043848;ENSMUST00000112291	Ncapd2;Capd2;Cnap1;Kiaa0159	Condensin complex subunit 1;Non-SMC condensin I complex subunit D2;Chromosome condensation-related SMC-associated protein 1;Chromosome-associated protein D2;XCAP-D2 homolog	Isoform 2 of Condensin complex subunit 1;Isoform 1 of Condensin complex subunit 1	1404	116710.19	105859.6	40.03	30.18
ENSMUST00000043760;ENSMUST00000112239	Mvk	Mevalonate kinase	Mevalonate kinase;similar to mevalonate kinase	395	116913.03	114651.73	12.55	10.4
ENSMUST00000070663;ENSMUST00000105279	Ppp1r12a;Mypt1	Protein phosphatase 1 regulatory subunit 12A;Myosin phosphatase-targeting subunit 1;Myosin phosphatase target subunit 1	Isoform 1 of Protein phosphatase 1 regulatory subunit 12A;Isoform 2 of Protein phosphatase 1 regulatory subunit 12A	1029	117134.53	75048.7	17.19	22.76
